title,sale,price
Euro Truck Simulator 2,-75,23500
Oxygen Not Included,-50,26000
Jurassic World Evolution,-90,46400
Don't Starve Together,-66,15500
RACCOON CITY EDITION,-63,91200
DEATH STRANDING,-50,64800
Borderlands 3,-67,64900
Resident Evil 3,-67,68400
Outward,-70,41000
ASTRONEER,-35,31000
Mount & Blade II: Bannerlord,-20,55000
American Truck Simulator,-75,23500
Lords Of The Fallen™,-90,31000
Jurassic World Evolution: Premium Edition,-76,129080
Gears 5,-75,39900
Euro Truck Simulator 2 Map Booster,-75,90000
Ghostrunner,-25,35000
Founders' Fortune,-15,20500
Outward : The Adventurer Bundle,-52,77000
Borderlands 3 Ultimate Edition,-44,128460
Euro Truck Simulator 2 - Road to the Black Sea,-50,19000
Second Extinction™,-20,26000
Euro Truck Simulator 2 Essentials,-76,69700
GTFO,-20,45000
Killing Floor 2,-67,32000
Love Physics Bundle,-66,34500
Iron Harvest,-30,61000
Jurassic World Evolution: Return To Jurassic Park,-50,20500
Marvel's Avengers,-50,64800
Black Sea Bundle,-68,59800
Outward: The Three Brothers,-10,20500
Disgaea 4 Complete+,-40,44000
Euro Truck Simulator 2 - Beyond the Baltic Sea,-70,19000
Euro Truck Simulator 2 - Scandinavia,-70,19000
Dragon's Dogma: Dark Arisen,-70,29000
Langrisser I & II,-40,61000
Dragon Age™ Inquisition,-75,47000
Euro Truck Simulator 2 - Italia,-70,19000
Mount & Blade: Warband,-75,20000
The Warlord package,-35,75000
Euro Truck Simulator 2 - Going East!,-70,14000
Euro Truck Simulator 2 - Vive la France !,-70,19000
Pacific Northwest,-67,70200
Jurassic World Evolution: Secrets of Dr Wu,-60,15500
Jurassic World Evolution: Claire's Sanctuary,-60,15500
Steep™,-80,33000
Gears Tactics,-50,59900
HUMANKIND™,-17,62000
Outward - The Soroboreans,-33,15500
Phoenix Point: Year One Edition,-50,61000
Atelier Ryza 2: Lost Legends & the Secret Fairy,-10,64800
Table Manners: Physics-Based Dating Game,-60,18500
American Truck Simulator - Idaho,-10,13000
Langrisser I & II Digital Limited Edition,-49,115500
Shady Part of Me,-10,14800
SPORE™,-75,24000
Disgaea Dood Bundle,-35,142900
American Truck Simulator - Utah,-30,13000
UNO,-60,11000
Generation Zero®,-65,26000
Sniper Ghost Warrior Contracts,-63,41000
Sniper Ghost Warrior 3,-82,31000
Riddle Joker,-10,36000
Sniper Ghost Warrior 3 Season Pass Edition,-82,31000
Crypt of the NecroDancer,-80,16000
American Truck Simulator - Washington,-50,13000
Monster Train,-30,26000
Jurassic World Evolution: Cretaceous Dinosaur Pack,-50,5700
Jurassic World Evolution: Carnivore Dinosaur Pack,-50,5700
RUNNING WITH RIFLES,-75,16000
Jurassic World Evolution: Herbivore Dinosaur Pack,-50,5700
Between the Stars,-40,31000
American Truck Simulator - New Mexico,-70,13000
American Truck Simulator - Oregon,-70,13000
American Truck Simulator Enchanted Bundle,-81,48600
Frostpunk: Game of the Year Edition,-29,67500
Mass Effect™: Andromeda Deluxe Edition,-67,36000
MONOPOLY® PLUS,-60,16500
Jurassic World Evolution: Jurassic Park Edition,-80,66900
Euro Truck Simulator 2 - High Power Cargo Pack,-70,5500
Mount & Blade: Warband DLC Collection,-79,45000
Euro Truck Simulator 2 - Cabin Accessories,-70,4400
Iratus: Lord of the Dead,-50,32000
Visual Novel Maker,-75,61000
NecroDancer AMPLIFIED PACK,-72,23500
Finding Paradise,-70,10500
Ragnarock,-15,20500
Jurassic World Evolution - Deluxe Dinosaur Pack,-85,11800
DESOLATE,-60,25900
Train Sim World® 2: LGV Méditerranée: Marseille - Avignon Route Add-On,-10,31000
Wattam,-50,20500
Manifold Garden,-25,20500
Magical Swordmaiden,-10,20500
Police Stories,-45,15500
Frostpunk: Season Pass,-30,36500
Sniper Ghost Warrior Contracts Digital Deluxe Edition,-63,41000
Euro Truck Simulator 2 - Special Transport,-70,5500
RUNNING WITH RIFLES: EDELWEISS,-10,11500
Hacknet,-80,10500
Mirror's Edge™ Catalyst,-60,24000
Generation Zero® - Resistance Bundle,-64,43000
Euro Truck Simulator 2 - FH Tuning Pack,-10,4400
American Truck Simulator - Forest Machinery,-30,5500
Mount & Blade: Warband - Viking Conquest Reforged Edition,-75,15000
Jurassic World Evolution: Raptor Squad Skin Collection,-45,2280
Disgaea 4 Complete+ Digital Dood Edition (Game + Art Book),-43,49500
Euro Truck Simulator 2 - Heavy Cargo Pack,-70,5500
Xuan-Yuan Sword VII,-20,36000
ASTRONEER + Soundtrack,-32,37500
Mount & Blade Legacy Collection,-80,65000
Resident Evil 3 - All In-game Rewards Unlock,-25,5700
Ryse: Son of Rome,-70,10500
Dragon Age II,-60,24000
Euro Truck Simulator 2 - Wheel Tuning Pack,-70,3300
Sniper: Ghost Warrior 2,-82,10500
Pixel Game Maker MV,-60,87500
Super Animal Royale Super Edition,-20,15500
Inquisition - Andromeda Bundle,-76,83000
Crypt of the NecroDancer: AMPLIFIED,-50,7500
Tropico 6 - Caribbean Skies,-10,16000
Euro Truck Simulator 2 Cargo Bundle,-75,16500
Senren＊Banka,-20,36000
Dragon Age: Origins,-75,24000
Mount & Blade: Warband - Napoleonic Wars,-75,10000
Mirror's Edge™,-75,24000
Nuclear Throne,-50,12500
Bad Guys at School,-20,5500
American Truck Simulator - Special Transport,-50,5500
American Truck Simulator - Heavy Cargo Pack,-70,5500
Ride 2 Special Edition,-77,86400
AER Memories of Old,-90,16000
Marvel's Avengers Deluxe Edition,-50,86600
Krampus is Home,-60,15500
HARDCORE MECHA,-41,20500
Ride 2,-75,31000
Fight of Animals: Arena,-10,13500
Solasta: Crown of the Magister,-20,36000
Euro Truck Simulator 2 - Krone Trailer Pack,-50,4400
Love n Dream: Virtual Happiness,-40,2200
THE LONGING,-20,15500
Don't Starve MEGA PACK 2020,-47,53000
Hunt: Showdown - Ronin,-10,7500
The Ditzy Demons Are in Love With Me,-30,26000
Death Squared,-75,15500
Autonauts,-50,20500
Dungeon Warfare 2,-66,15500
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,-50,4400
Sea of Solitude,-75,24000
Overcrowd: A Commute 'Em Up,-30,20500
Euro Truck Simulator 2 - Actros Tuning Pack,-30,4400
Generation Zero® - FNIX Rising,-15,8500
Fantasy Tavern Sextet -Vol.1 New World Days-,-20,13500
I Walk Among Zombies Vol. 3,-10,15500
Don't Be Afraid,-15,14500
POSTAL 2,-90,10500
Mirror's Edge Collection,-72,52000
Iratus: Wrath of the Necromancer,-25,16000
Generation Zero® - Alpine Unrest,-30,8500
Oxygen Not Included Soundtrack,-75,5500
Sniper Ghost Warrior Complete Trilogy,-74,53000
Euro Truck Simulator 2 - Michelin Fan Pack,-50,3300
Hacknet - Ultimate Edition,-74,34000
Mini Island Challenge All Package,-54,27500
American Truck Simulator - Classic Stripes Paint Jobs Pack,-50,2200
American Truck Simulator - Wheel Tuning Pack,-70,3300
Euro Truck Simulator 2 - Goodyear Tyres Pack,-30,3300
Don't Starve Together: Bounteous Bundle,-15,17500
"Please, Don't Touch Anything 3D",-55,10500
Zompiercer,-20,21900
Euro Truck Simulator 2 - Schwarzmüller Trailer Pack,-50,3300
Mount & Blade: With Fire & Sword,-75,10000
Pumpkin Jack,-25,31000
Disaster Report 4: Summer Memories,-40,65000
American Truck Simulator - Steering Creations Pack,-70,3300
Overdungeon 超载地牢,-50,15500
Unforgiving - A Northern Hymn,-80,15500
CrashMetal - Cyberpunk,-20,5500
State of Mind,-85,37000
Euro Truck Simulator 2 - Romanian Paint Jobs Pack,-50,1100
Shakedown: Hawaii,-30,21000
The Office Quest,-65,12500
Euro Truck Simulator 2 - Bulgarian Paint Jobs  Pack,-50,1100
RUNNING WITH RIFLES: PACIFIC,-75,10500
Hacknet - Labyrinths,-40,7500
Zaccaria Pinball - Starter Pack,-85,36900
Iratus: Necromancer Edition,-44,58800
Hacktag,-50,21000
Dealer's Life 2,-10,10500
Euro Truck Simulator 2 - Turkish Paint Jobs Pack,-50,1100
Demon Hunter 5: Ascendance,-70,15500
HARDCORE MECHA - Fighter's Edition,-51,42500
Hunt: Showdown - Live by the Blade,-30,10500
More Spore,-50,72000
Exceptional Cargo Bundle,-65,16500
The Night of the Rabbit,-90,21000
Ashes of the Singularity: Escalation,-55,31000
The POSTAL 2 Collection,-90,17000
Hunt: Showdown - Fire Fight,-45,6500
Rytmik Studio,-65,32000
Risen Franchise Pack,-81,63400
Moon Hunters,-90,15500
Euro Truck Simulator 2 - XF Tuning Pack,-50,4400
Comedy Night,-50,5500
Risen 3 - Titan Lords,-75,16000
POSTAL 4: No Regerts,-20,26000
Dungeon Warfare,-75,9900
Jurassic World Evolution: Dinosaur Collection,-58,17100
ELEX,-75,50000
To the Moon Series 5-Year Anniversary Bundle,-44,43000
Deponia: The Complete Journey,-90,37000
Barro F,-50,1100
Euro Truck Simulator 2 - HS-Schoch Tuning Pack,-10,2200
Mount & Blade,-75,10000
Steep™ - Road to the Olympics,-80,11000
I Walk Among Zombies Vol. 0,-10,9500
Hunt: Showdown - Double or Nothing,-38,8500
Tank Warfare: Tunisia 1943,-80,49450
Langrisser I & II - Legacy BGM Pack,-40,13000
Hunt: Showdown - Soundtrack,-50,6500
Stranded Sails - Explorers of the Cursed Islands,-55,26000
Dude Simulator 2,-90,5500
Risen 2: Dark Waters,-75,10500
Submerged,-90,21000
POSTAL 2: Paradise Lost,-82,6500
Necromunda: Underhive Wars,-40,42800
Hanako Games Collection,-31,147500
Hunt: Showdown - The Revenant,-50,7500
Don't Starve Together: Wormwood Deluxe Chest,-50,11500
Hunt: Showdown - The Phantom,-45,5500
Rytmik Ultimate,-70,19000
Sniper Ghost Warrior 2: Siberian Strike,-80,10500
FRAMED Collection,-60,10500
Don't Starve Together: Wurt Deluxe Chest,-50,10500
Gemini,-21,8500
Desert Skies,-30,20500
Piranha Bytes & friends,-82,152000
Arctico,-60,10500
Dragon Age 2 Complete,-52,52500
Rytmik Supporter Bundle,-75,89600
Dungeons 2,-75,21000
Disaster Report 4: Summer Memories Digital Limited Edition,-46,83700
Risen,-75,10500
The Shrouded Isle,-75,10500
NecroDancer ULTIMATE PACK,-70,63700
Hacknet - Complete Edition,-67,18000
Wild Romance: Mofu Mofu Edition,-50,15800
POSTAL The Movie,-75,4400
Everything,-80,15500
Finding Paradise Soundtrack,-70,5500
Don't Starve Together: Hallowed Nights Belongings Chest,-50,9500
Tank Warfare: Tunisia 1943 Complete Edition,-86,99150
Devious Dungeon,-90,5500
Uno - Uno Flip Theme,-40,5500
Caravan,-90,10500
American Truck Simulator - Space Paint Jobs Pack,-50,2200
Baltic Bundle,-71,24500
Finding Paradise Game and Soundtrack Bundle,-76,16000
Euro Truck Simulator 2 - Window Flags,-50,1100
Euro Truck Simulator 2 - South Korean Paint Jobs Pack,-50,1100
Desert Of The Dead,-65,2200
Desktop Farm,-25,2200
Robinson: The Journey,-70,21330
Every POSTAL (But That One) Collection,-86,37000
Disc Room,-33,15500
"The Terri, Dose, Kitty, and JW Collection",-64,59500
Relaxing Puzzle Box,-46,12100
Valley,-70,15500
Mokoko,-40,5500
Super Motherload,-75,15500
Don't Starve Together: Wortox Deluxe Chest,-50,11500
Decay: The Mare,-90,6000
Overdungeon - Deluxe Edition,-48,17700
Criminal Girls: Invite Only,-60,10000
American Truck Simulator - Christmas Paint Jobs Pack,-50,2200
Euro Truck Simulator 2 - Raven Truck Design Pack,-50,2200
Steep™ - Extreme Pack,-80,11000
Minit,-60,10500
POSTAL Redux,-84,9500
Verdict Guilty - 유죄 평결,-90,5500
Paper Memories - Comics from Finding Paradise & To the Moon,-70,2200
Neo Cab,-40,15500
The Secret Order 7: Shadow Breach,-70,15500
Don't Starve Together: Beating Heart Chest,-50,5500
Ride 2 2017 Top Bikes Pack,-75,6500
Holy Potatoes! A Bundle?!,-91,60000
"Borderlands 3: Guns, Love, and Tentacles",-34,18500
Headmaster + Headmaster: The Lost Lessons,-42,29500
My Cute Commissar,-65,2200
Steep™ - Welcome Pack,-80,6500
Scania Truck Driving Simulator,-80,10500
Lucifer Within Us,-25,20500
Bus Driver,-80,8500
The Night of the Rabbit Premium Edition,-90,27000
Death's Hangover,-90,5500
Holy Potatoes! A Spy Story?!,-80,16000
Knights and Merchants,-50,7500
Demian: The Ritual,-10,2200
Uno - Rayman Theme Cards,-70,3300
Everything OST,-66,7500
Out of Reach,-80,16000
TAURONOS,-90,5500
American Truck Simulator - Halloween Paint Jobs Pack,-50,2200
Gothic Universe Edition,-80,20000
Magical Diary: Horse Hall,-70,16000
Endless Fables 3: Dark Moor,-70,15500
Super Mega Games Bundle of Joy,-84,27300
Jagged Alliance 2 - Wildfire,-60,7500
Heavy Bullets,-80,10500
Crypt of the Necrodancer Original Danny Baranowsky Soundtrack,-80,10500
Shark Attack Deathmatch 2,-70,5500
Mysteries of the Undead,-90,5500
Colossus Down,-10,18500
King's Heir: Rise to the Throne,-70,15500
Geometric Sniper,-20,2200
Uno - Just Dance Theme Cards,-70,3300
Tank Warfare: Longstop Hill,-90,16000
Wild Romance,-90,9800
OTTTD,-80,8500
LEAVES - The Return,-90,8500
Warstone TD,-50,15500
Gothic 1,-80,20000
Ride 2 Aprilia and Suzuki Bonus Pack,-75,4400
Pesterquest,-40,12500
Euro Truck Simulator 2 - Super Stripes Paint Jobs Pack,-10,2200
OXXO,-50,2200
Nightmares from the Deep 2: The Siren`s Call,-70,10500
Haunted Past: Realm of Ghosts,-90,5500
UBERMOSH Vol.7,-90,5500
Crypt of the NecroDancer Extras,-75,2200
Risen 2: Dark Waters - Treasure Isle DLC,-75,5500
Boom 3D,-20,17500
A Year Of Rain,-90,16000
Harvest Life,-80,15500
Out of Reach Double Pack,-53,31500
Cultures - 8th Wonder of the World,-90,5500
Hacknet Official Soundtrack,-80,10500
Downward,-70,10500
Tinker Racers,-50,5500
Hentai Killer,-49,1100
Euro Truck Simulator 2 - Fantasy Paint Jobs Pack,-50,2200
Mountain,-50,1100
Mahjong Magic Journey,-90,5500
Viki Spotter: Space Mission,-87,4400
One More Line,-80,3300
Sins of a Solar Empire®: Rebellion,-67,41000
Dungeons 2 - A Game of Winter,-75,8500
Ride 2 Kawasaki and Ducati Bonus Pack,-75,4400
Mosaics Galore 2,-90,5500
American Truck Simulator - Dragon Truck Design Pack,-50,2200
Behind The Door,-87,4400
Don't Starve Together: Snowfallen Survivors Chest,-50,10500
American Truck Simulator - Valentine's Paint Jobs Pack,-50,2200
Holy Potatoes! What the Hell?!,-88,10000
Scalak,-50,2200
UBERMOSH,-50,1100
Elmarion: Dragon's Princess,-20,10500
Crypt of the NecroDancer Extended Soundtrack,-80,5500
Fission,-40,1100
Crypt of the NecroDancer Extended Soundtrack 2,-80,5500
Risen 2: Dark Waters - Air Temple DLC,-75,5500
Viki Spotter: Megapolis,-87,4400
Viki Spotter: Zoo,-87,4400
Viki Spotter: The Farm,-87,4400
Heroine Anthem Zero -Sacrifice-,-65,10500
Viki Spotter: School,-87,4400
AER Memories of Old Soundtrack,-80,3300
The Land of Pain,-60,10500
WTF,-90,5500
Dig Dog,-80,4400
Hearts of Chaos,-90,5500
Ride 2 Rising Sun Bikes Pack,-75,6500
Inline,-80,5500
Hook,-22,1100
Diggles: The Myth of Fenris,-20,10500
Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,-50,2200
Solitaire Beach Season,-90,5500
Everything + OST,-79,23000
Andarilho,-50,1100
Z Runaway,-87,4400
Euro Truck Simulator 2 - Space Paint Jobs Pack,-50,2200
Shakes on a Plane,-20,15500
TTV2,-50,1100
Dungeons 2 - A Song of Sand and Fire,-75,4400
Euro Truck Simulator 2 - Pirate Paint Jobs Pack,-50,2200
Dungeons 2 - A Chance of Dragons,-75,4400
Euro Truck Simulator 2 - Force of Nature Paint Jobs Pack,-50,2200
Picross Fairytale: Legend of the Mermaid,-90,5500
Ride 2 Limited Edition Bikes Pack,-75,6500
Hoo-Boy,-75,2200
Crunch Element,-10,20500
6.0,-50,1100
Jagged Alliance 2 Classic,-60,5500
Taimumari: Definitive Edition,-66,8500
IN-VERT: Definitive Edition,-70,5500
Randumb Studios Mini Bundle,-27,15400
Tank Warfare: Chewy Gooey Pass,-75,2200
Risen 2: Dark Waters - A Pirate's Clothes DLC,-75,2200
Inca Blocks,-75,2200
Crypt of the NecroDancer: AMPLIFIED OST - OC ReMix,-50,4400
HARDBOILED FUZZ,-77,7700
Anstorm,-75,2200
Soccer Player Simulator,-50,1100
Killer Shark,-76,8800
法利恩戰記（Furion Chronicles）,-50,5500
Euro Truck Simulator 2 - UK Paint Jobs Pack,-50,1100
Blacksad: Under the Skin,-60,41000
Euro Truck Simulator 2 - German Paint Jobs Pack,-50,1100
Adventure of Bears,-50,1100
PUSH,-35,1100
ARCADE ONSLAUGHT,-65,34100
Euro Truck Simulator 2 - Russian Paint Jobs Pack,-50,1100
Star Island,-33,3300
Great Toilet Simulator,-50,1100
Euro Truck Simulator 2 - Finnish Paint Jobs Pack,-50,1100
Micro Pico Racers,-50,2200
PROTEST,-75,2200
Hollow Witch,-40,2200
Legend of Himari,-50,1100
Arcania + Gothic Pack,-80,50000
ArcaniA,-75,20000
Dark Fantasy: Jigsaw Puzzle,-50,2200
Zenge,-35,1100
【豪华版】嗜血印本体+全部服装DLC,-59,77900
Brain Bundle 4-in-1,-50,11000
Hacknet - Labyrinths Official Soundtrack,-40,5500
Gone: Survival,-30,7500
Euro Truck Simulator 2 - French Paint Jobs Pack,-50,1100
Euro Truck Simulator 2 - Swedish Paint Jobs Pack,-50,1100
Dream Hills: Captured Magic,-55,4400
Euro Truck Simulator 2 - Norwegian Paint Jobs Pack,-50,1100
Euro Truck Simulator 2 - Estonian Paint Jobs Pack,-50,1100
Euro Truck Simulator 2 - Lithuanian Paint Jobs Pack,-50,1100
Euro Truck Simulator 2 - Latvian Paint Jobs Pack,-50,1100
5.0,-50,1100
aMAZE Halloween,-50,1100
Death in the Water,-65,3300
Beauty and the Beast: Hidden Object Fairy Tale. HOG,-50,3300
Flappatron,-50,1100
EggK47,-50,1100
klocki,-22,1100
SWARMRIDER OMEGA,-50,1100
Art Of Gravity,-35,1100
Trash Story,-50,1100
Offroad Mania,-20,5500
Nexoria: Dungeon Rogue Heroes,-52,5500
Trip to Vinelands,-50,1100
City Zombies,-50,1100
Fat Prisoner Simulator,-50,1100
NABOKI,-22,1100
Bad Rats: the Rats' Revenge,-50,1100
TTV3,-50,1100
UBERMOSH Vol.5,-50,1100
Up Left Out,-22,1100
"Damn, what was yesterday?",-50,1100
UBERMOSH Vol.3,-50,1100
NecroDancer VS Danganronpa,-33,65500
Dots eXtreme,-50,2200
Call Of The Mighty Warriors,-50,1100
Happy Max Set,-35,8800
Eternal Radiance,-20,20500
Dwarflings,-50,3300
Shiv games bundle,-55,3300
Homeless Simulator,-50,1100
PUZZLE: ANIMALS,-49,1100
Flatout Complete Pack,-75,43000
Biba`s Adventures — Hardcore platformer,-45,1100
Kotel Ne Gori: A Friend of Lena Boots,-45,1100
BATTLE ARENA: Robot apocalypse,-30,2200
IMAZE.EXE 2,-49,1100
Chocolate makes you happy 6,-50,1100
Franchise Hockey Manager 7,-10,41000
Pixel Traffic: Highway Racing,-50,1100
oO,-22,1100
Games Collection,-22,6600
Slide Stories: Bonds & Memories,-30,1100
DEEEER Simulator: Your Average Everyday Deer Game,-25,13500
Gas Guzzlers Extreme,-82,26000
City of Brass,-90,20500
ABYSS OF THE SACRIFICE,-20,41000
Paradise Killer,-25,20500
Retro Game Crunch,-90,10500
Slide Stories Collection,-32,2200
Orwell: Keeping an Eye On You,-75,10500
The Horrorscope,-10,2200
The Horrorscope: Fatal Awakening,-10,2200
Asterix & Obelix XXL 2,-75,32000
Hunt: Showdown - DLC Bundle,-28,86640
Dungeons 2 Complete Edition,-80,17300
Banners of Ruin,-25,20500
