title,sale,price
Jurassic World Evolution,-90%,"₩ 46,400"
DEATH STRANDING,-50%,"₩ 64,800"
Oxygen Not Included,-50%,"₩ 26,000"
Borderlands 3,-67%,"₩ 64,900"
RACCOON CITY EDITION,-63%,"₩ 91,200"
Resident Evil 3,-67%,"₩ 68,400"
Euro Truck Simulator 2,-75%,"₩ 23,500"
Don't Starve Together,-66%,"₩ 15,500"
Outward,-70%,"₩ 41,000"
Mount & Blade II: Bannerlord,-20%,"₩ 55,000"
Jurassic World Evolution: Premium Edition,-76%,"₩ 129,080"
ASTRONEER,-35%,"₩ 31,000"
Gears 5,-75%,"₩ 39,900"
Borderlands 3 Ultimate Edition,-44%,"₩ 128,460"
American Truck Simulator,-75%,"₩ 23,500"
Outward : The Adventurer Bundle,-52%,"₩ 77,000"
Ghostrunner,-25%,"₩ 35,000"
Second Extinction™,-20%,"₩ 26,000"
Founders' Fortune,-15%,"₩ 20,500"
Resident Evil 2,,
Jurassic World Evolution: Return To Jurassic Park,-50%,"₩ 20,500"
GTFO,-20%,"₩ 45,000"
Euro Truck Simulator 2 Map Booster,-75%,"₩ 90,000"
Outward: The Three Brothers,-10%,"₩ 20,500"
Euro Truck Simulator 2 - Road to the Black Sea,-50%,"₩ 19,000"
Marvel's Avengers,-50%,"₩ 64,800"
Dragon's Dogma: Dark Arisen,-70%,"₩ 29,000"
Killing Floor 2,-67%,"₩ 32,000"
Euro Truck Simulator 2 Essentials,-76%,"₩ 69,700"
Riddle Joker,-10%,"₩ 36,000"
Mount & Blade: Warband,-75%,"₩ 20,000"
Jurassic World Evolution: Secrets of Dr Wu,-60%,"₩ 15,500"
Love Physics Bundle,-66%,"₩ 34,500"
Gears Tactics,-50%,"₩ 59,900"
Jurassic World Evolution: Claire's Sanctuary,-60%,"₩ 15,500"
Langrisser I & II,-40%,"₩ 61,000"
Iron Harvest,-30%,"₩ 61,000"
Euro Truck Simulator 2 - Scandinavia,-70%,"₩ 19,000"
Disgaea 4 Complete+,-40%,"₩ 44,000"
Steep™,-80%,"₩ 33,000"
Secret Neighbor: Hello Neighbor Multiplayer,-50%,"₩ 20,500"
The Warlord package,-35%,"₩ 75,000"
Outward - The Soroboreans,-33%,"₩ 15,500"
Euro Truck Simulator 2 - Beyond the Baltic Sea,-70%,"₩ 19,000"
HUMANKIND™,-17%,"₩ 62,000"
Marvel's Avengers Deluxe Edition,-50%,"₩ 86,600"
Mount & Blade Legacy Collection,-80%,"₩ 65,000"
Dragon Age™ Inquisition,-75%,"₩ 47,000"
Atelier Ryza 2: Lost Legends & the Secret Fairy,-10%,"₩ 64,800"
Jurassic World Evolution: Jurassic Park Edition,-80%,"₩ 66,900"
Euro Truck Simulator 2 - Italia,-70%,"₩ 19,000"
Euro Truck Simulator 2 - Going East!,-70%,"₩ 14,000"
Crypt of the NecroDancer,-80%,"₩ 16,000"
Black Sea Bundle,-68%,"₩ 59,800"
Pacific Northwest,-67%,"₩ 70,200"
HARDCORE MECHA,-41%,"₩ 20,500"
The Secret of Monkey Island: Special Edition,-66%,"₩ 10,500"
Euro Truck Simulator 2 - Vive la France !,-70%,"₩ 19,000"
Train Sim World® 2: LGV Méditerranée: Marseille - Avignon Route Add-On,-10%,"₩ 31,000"
Jurassic World Evolution: Cretaceous Dinosaur Pack,-50%,"₩ 5,700"
Monkey Island Collection,-75%,"₩ 36,000"
Jurassic World Evolution: Herbivore Dinosaur Pack,-50%,"₩ 5,700"
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,-66%,"₩ 10,500"
ASTRONEER + Soundtrack,-32%,"₩ 37,500"
Mass Effect™: Andromeda Deluxe Edition,-67%,"₩ 36,000"
Jurassic World Evolution: Carnivore Dinosaur Pack,-50%,"₩ 5,700"
The Curse of Monkey Island,-66%,"₩ 7,500"
SPORE™,-75%,"₩ 24,000"
Don't Starve MEGA PACK 2020,-47%,"₩ 53,000"
American Truck Simulator - Idaho,-10%,"₩ 13,000"
American Truck Simulator Enchanted Bundle,-81%,"₩ 48,600"
Escape from Monkey Island™,-66%,"₩ 7,500"
Table Manners: Physics-Based Dating Game,-60%,"₩ 18,500"
NecroDancer AMPLIFIED PACK,-72%,"₩ 23,500"
RUNNING WITH RIFLES,-75%,"₩ 16,000"
Manifold Garden,-25%,"₩ 20,500"
Mirror's Edge™ Catalyst,-60%,"₩ 24,000"
Generation Zero®,-65%,"₩ 26,000"
Langrisser I & II Digital Limited Edition,-49%,"₩ 115,500"
Wattam,-50%,"₩ 20,500"
Shady Part of Me,-10%,"₩ 14,800"
Magical Swordmaiden,-10%,"₩ 20,500"
Iratus: Lord of the Dead,-50%,"₩ 32,000"
Monster Train,-30%,"₩ 26,000"
Jurassic World Evolution - Deluxe Dinosaur Pack,-85%,"₩ 11,800"
Sniper Ghost Warrior Contracts,-63%,"₩ 41,000"
Mount & Blade: Warband - Viking Conquest Reforged Edition,-75%,"₩ 15,000"
DESOLATE,-60%,"₩ 25,900"
Phoenix Point: Year One Edition,-50%,"₩ 61,000"
American Truck Simulator - Washington,-50%,"₩ 13,000"
Sniper Ghost Warrior Contracts Digital Deluxe Edition,-63%,"₩ 41,000"
UNO,-60%,"₩ 11,000"
American Truck Simulator - New Mexico,-70%,"₩ 13,000"
Dragon Age II,-60%,"₩ 24,000"
Visual Novel Maker,-75%,"₩ 61,000"
Sniper Ghost Warrior 3,-82%,"₩ 31,000"
Tropico 6 - Caribbean Skies,-10%,"₩ 16,000"
Iratus: Necromancer Edition,-44%,"₩ 58,800"
Finding Paradise,-70%,"₩ 10,500"
Jurassic World Evolution: Raptor Squad Skin Collection,-45%,"₩ 2,280"
American Truck Simulator - Utah,-30%,"₩ 13,000"
Resident Evil 3 - All In-game Rewards Unlock,-25%,"₩ 5,700"
The Ditzy Demons Are in Love With Me,-30%,"₩ 26,000"
Euro Truck Simulator 2 - High Power Cargo Pack,-70%,"₩ 5,500"
Euro Truck Simulator 2 - Cabin Accessories,-70%,"₩ 4,400"
Crypt of the NecroDancer: AMPLIFIED,-50%,"₩ 7,500"
Dragon Age: Origins,-75%,"₩ 24,000"
Ashes of the Singularity: Escalation,-55%,"₩ 31,000"
Police Stories,-45%,"₩ 15,500"
American Truck Simulator - Oregon,-70%,"₩ 13,000"
HARDCORE MECHA - Fighter's Edition,-51%,"₩ 42,500"
Mirror's Edge™,-75%,"₩ 24,000"
Mount & Blade: Warband - Napoleonic Wars,-75%,"₩ 10,000"
Mirror's Edge Collection,-72%,"₩ 52,000"
Inquisition - Andromeda Bundle,-76%,"₩ 83,000"
Solasta: Crown of the Magister,-20%,"₩ 36,000"
Generation Zero® - Resistance Bundle,-64%,"₩ 43,000"
Blacksad: Under the Skin,-60%,"₩ 41,000"
RUNNING WITH RIFLES: EDELWEISS,-10%,"₩ 11,500"
Euro Truck Simulator 2 - FH Tuning Pack,-10%,"₩ 4,400"
Gibbous -  A Cthulhu Adventure,-70%,"₩ 20,500"
Sniper Ghost Warrior 3 Season Pass Edition,-82%,"₩ 31,000"
Marvel’s Avengers: Deluxe Upgrade,,
Fantasy Tavern Sextet -Vol.1 New World Days-,-20%,"₩ 13,500"
THE LONGING,-20%,"₩ 15,500"
AER Memories of Old,-90%,"₩ 16,000"
Ryse: Son of Rome,-70%,"₩ 10,500"
Senren＊Banka,-20%,"₩ 36,000"
Mount & Blade: With Fire & Sword,-75%,"₩ 10,000"
Super Animal Royale Super Edition,-20%,"₩ 15,500"
Euro Truck Simulator 2 Cargo Bundle,-75%,"₩ 16,500"
Dealer's Life 2,-10%,"₩ 10,500"
Mount & Blade: Warband DLC Collection,-79%,"₩ 45,000"
Mount & Blade,-75%,"₩ 10,000"
ELEX,-75%,"₩ 50,000"
Overcrowd: A Commute 'Em Up,-30%,"₩ 20,500"
Hunt: Showdown - Ronin,-10%,"₩ 7,500"
Euro Truck Simulator 2 - Heavy Cargo Pack,-70%,"₩ 5,500"
Euro Truck Simulator 2 - Special Transport,-70%,"₩ 5,500"
Husbandry,-40%,"₩ 5,500"
Euro Truck Simulator 2 - Wheel Tuning Pack,-70%,"₩ 3,300"
American Truck Simulator - Forest Machinery,-30%,"₩ 5,500"
Sins of a Solar Empire®: Rebellion,-67%,"₩ 41,000"
The Last Haven,-30%,"₩ 20,500"
MONOPOLY® PLUS,-60%,"₩ 16,500"
Hacknet,-80%,"₩ 10,500"
Dragon Age 2 Complete,-52%,"₩ 52,500"
Nuclear Throne,-50%,"₩ 12,500"
Bad Guys at School,-20%,"₩ 5,500"
American Truck Simulator - Heavy Cargo Pack,-70%,"₩ 5,500"
Xuan-Yuan Sword VII,-20%,"₩ 36,000"
Frostpunk: The Last Autumn,,
Don't Be Afraid,-15%,"₩ 14,500"
Academia : School Simulator,-20%,"₩ 20,000"
akeytsu Indie 2021,-40%,"₩ 299,000"
Euro Truck Simulator 2 - Actros Tuning Pack,-30%,"₩ 4,400"
Generation Zero® - FNIX Rising,-15%,"₩ 8,500"
Iratus: Wrath of the Necromancer,-25%,"₩ 16,000"
Exceptional Cargo Bundle,-65%,"₩ 16,500"
Ragnarock,-15%,"₩ 20,500"
Steep™ - Road to the Olympics,-80%,"₩ 11,000"
Bermuda - Lost Survival,-34%,"₩ 16,000"
Sea of Solitude,-75%,"₩ 24,000"
Death Squared,-75%,"₩ 15,500"
Frostpunk: Season Pass,-30%,"₩ 36,500"
Diggles: The Myth of Fenris,-20%,"₩ 10,500"
Crunch Element,-10%,"₩ 20,500"
Pumpkin Jack,-25%,"₩ 31,000"
Sniper: Ghost Warrior 2,-82%,"₩ 10,500"
Koi-Koi Japan : Deluxe Edition,-14%,"₩ 22,600"
Generation Zero® - Alpine Unrest,-30%,"₩ 8,500"
POSTAL 2,-90%,"₩ 10,500"
Krampus is Home,-60%,"₩ 15,500"
Disaster Report 4: Summer Memories,-40%,"₩ 65,000"
HELLO LADY!,-52%,"₩ 31,000"
Disgaea Dood Bundle,-35%,"₩ 142,900"
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,-50%,"₩ 4,400"
Frostpunk: Game of the Year Edition,-29%,"₩ 67,500"
Oxygen Not Included Soundtrack,-75%,"₩ 5,500"
The Shrouded Isle,-75%,"₩ 10,500"
Moon Hunters,-90%,"₩ 15,500"
Deponia: The Complete Journey,-90%,"₩ 37,000"
Autonauts,-50%,"₩ 20,500"
Euro Truck Simulator 2 - HS-Schoch Tuning Pack,-10%,"₩ 2,200"
Euro Truck Simulator 2 - Krone Trailer Pack,-50%,"₩ 4,400"
Don't Starve Together: Wormwood Deluxe Chest,-50%,"₩ 11,500"
American Truck Simulator - Special Transport,-50%,"₩ 5,500"
American Truck Simulator - Wheel Tuning Pack,-70%,"₩ 3,300"
Criminal Girls: Invite Only,-60%,"₩ 10,000"
American Truck Simulator - Steering Creations Pack,-70%,"₩ 3,300"
Disc Room,-33%,"₩ 15,500"
Disgaea 4 Complete+ Digital Dood Edition (Game + Art Book),-43%,"₩ 49,500"
Euro Truck Simulator 2 - Goodyear Tyres Pack,-30%,"₩ 3,300"
Everything,-80%,"₩ 15,500"
I Walk Among Zombies Vol. 3,-10%,"₩ 15,500"
Euro Truck Simulator 2 - Michelin Fan Pack,-50%,"₩ 3,300"
The Neon Cloud Runner Bundle,-20%,"₩ 76,000"
